city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
emiliano zapata,69.01,18.83,-99.18,56,5,1.21,MX,1587213863
avera,64.4,33.19,-82.53,93,90,8.05,US,1587213863
huruta,73.31,8.15,39.35,31,95,5.21,ET,1587213863
port hawkesbury,37.99,45.62,-61.35,64,1,5.82,CA,1587213863
ayan,15.24,56.45,138.17,83,40,11.54,RU,1587213864
balkanabat,79.99,39.51,54.37,24,0,8.68,TM,1587213864
maturin,78.62,9.75,-63.18,67,32,5.77,VE,1587213864
jizan,93.2,17.33,42.67,63,40,19.46,SA,1587213864
abnub,77.0,27.27,31.15,38,24,17.22,EG,1587213865
fougamou,85.1,-1.22,10.58,68,93,0.09,GA,1587213865
dongying,61.92,37.46,118.49,37,100,6.29,CN,1587213865
yilan,75.0,24.76,121.75,99,100,2.26,TW,1587213865
krasnyy yar,69.8,46.53,48.35,33,98,13.42,RU,1587213865
hvolsvollur,44.6,63.75,-20.22,93,90,16.11,IS,1587213704
kolokani,103.96,13.57,-8.03,9,57,9.64,ML,1587213866
paita,72.59,-5.09,-81.11,76,12,10.65,PE,1587213866
husavik,50.0,66.04,-17.34,57,40,35.57,IS,1587213866
petropavlovsk-kamchatskiy,33.8,53.05,158.65,64,5,6.71,RU,1587213866
hamilton,37.99,39.18,-84.53,74,75,6.93,US,1587213594
hukuntsi,85.98,-24.0,21.75,22,8,15.9,BW,1587213866
san andres,80.6,12.58,-81.7,78,40,5.82,CO,1587213866
puerto colombia,78.8,10.99,-74.95,88,0,4.7,CO,1587213867
ngara,67.68,-2.51,30.66,58,94,3.42,TZ,1587213867
salihorsk,46.83,52.79,27.54,50,51,11.23,BY,1587213577
port hardy,46.4,50.7,-127.42,93,90,3.36,CA,1587213725
le port,82.4,-20.94,55.29,65,20,21.92,RE,1587213867
gafanha da encarnacao,66.0,40.62,-8.73,69,38,4.68,PT,1587213867
port hedland,82.4,-20.32,118.57,83,100,8.05,AU,1587213867
rio gallegos,41.0,-51.62,-69.22,65,20,6.93,AR,1587213868
westport,41.0,41.14,-73.36,93,90,11.41,US,1587213635
ano mera,68.0,37.45,25.4,49,0,6.93,GR,1587213868
aljezur,68.0,37.32,-8.8,63,91,6.93,PT,1587213868
sobolevo,42.85,54.43,31.9,59,96,14.76,RU,1587213868
broome,34.0,42.25,-75.83,100,90,8.05,US,1587213869
ambilobe,87.57,-13.2,49.05,54,96,5.61,MG,1587213869
pemba,87.8,-12.97,40.52,66,20,19.46,MZ,1587213869
roald,48.0,62.58,6.13,52,2,8.05,NO,1587213869
hohen neuendorf,62.01,52.67,13.28,26,0,5.82,DE,1587213797
