city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
aksarka,27.45,66.56,67.8,98,100,13.76,RU,1587074186
vanavara,35.38,60.34,102.28,81,100,11.03,RU,1587074186
beloha,77.56,-25.17,45.05,62,9,9.95,MG,1587074186
vermilion,48.2,40.17,-87.75,36,90,5.14,US,1587073893
tessalit,85.84,20.2,1.01,16,30,7.76,ML,1587073919
methoni,59.0,36.82,21.7,81,1,3.36,GR,1587074187
donskoy,43.0,53.97,38.34,88,63,17.54,RU,1587074187
taltal,70.52,-25.4,-70.48,59,7,6.82,CL,1587074091
ajtos,44.6,42.7,27.25,81,0,4.7,BG,1587074188
merauke,76.51,-8.47,140.33,90,100,3.89,ID,1587074188
agadez,86.97,19.75,10.25,11,89,8.48,NE,1587074188
azul,64.0,-36.78,-59.86,57,0,4.07,AR,1587074188
los andes,78.8,-32.83,-70.6,33,13,12.75,CL,1587074188
tshikapa,75.34,-6.42,20.8,74,99,4.65,CD,1587074079
muzhi,34.12,65.37,64.67,95,100,16.08,RU,1587074188
annecy,57.2,45.9,6.12,66,5,8.05,FR,1587074181
santa cruz de la palma,68.0,28.68,-17.76,72,40,6.93,ES,1587074189
whitehorse,50.0,60.72,-135.05,57,75,3.36,CA,1587074142
pundaguitan,81.75,6.37,126.17,78,87,10.02,PH,1587074189
kahului,80.6,20.89,-156.47,65,40,19.46,US,1587073903
zapolyarnyy,33.8,69.42,30.81,96,75,18.34,RU,1587074189
rach gia,80.82,10.02,105.08,82,86,9.22,VN,1587074068
cacoal,76.95,-11.44,-61.45,85,38,3.74,BR,1587074190
la cruz,80.28,23.92,-106.9,35,99,8.19,MX,1587074190
kuala terengganu,78.8,5.33,103.14,88,40,4.7,MY,1587073975
guymon,66.2,36.68,-101.48,25,1,12.75,US,1587074190
lufilufi,80.01,-13.87,-171.6,88,100,18.01,WS,1587074190
pemangkat,79.25,1.17,108.97,85,100,4.54,ID,1587074190
college,46.4,64.86,-147.8,75,90,13.87,US,1587074033
bonthe,81.09,7.53,-12.51,81,83,9.35,SL,1587074191
sault sainte marie,33.8,46.52,-84.33,55,90,17.22,CA,1587073900
mongu,72.64,-15.25,23.13,45,40,4.32,ZM,1587074191
eyl,83.75,7.98,49.82,76,4,10.47,SO,1587074191
kenai,44.01,60.55,-151.26,100,90,8.05,US,1587074191
dafeng,68.83,23.45,108.59,84,90,4.74,CN,1587074192
barcelos,60.8,41.54,-8.62,93,40,12.75,PT,1587074192
saint-joseph,75.2,-21.37,55.62,73,24,8.05,RE,1587074098
lerwick,42.8,60.15,-1.15,81,21,6.93,GB,1587074192
southbridge,46.0,42.08,-72.03,32,40,16.11,US,1587073898
